system_indicator|card_number|product_id|customer_number|embossing_name|embossing_date|card_valid_through|previous_valid_through|card_type_plastictipping|authorised_amount|authorised_amount_sign|first_usage_date|ytd_transaction_purch|ytd_transaction_purch_sign|ytd_transaction_cash|ytd_transaction_cash_sign|annual_charge_date|no_of_years_to_waive_annual|activation_flag|life_card_flag|activation_change_date|branch_number|application_type_1|application_type_2|facility_group_account_number|processing_group|credit_limit|credit_limit_sign|temporary_limit|temporary_limit_sign|current_balance|current_balance_sign|balance_carried_forward|balance_carried_forward_sign|amount_due|amount_due_sign|total_payments_since_cutoff|total_payments_since_cutoff_sign|amount_in_arrears_1_period|amount_in_arrears_1_period_sign|amount_in_arrears_2_periods|amount_in_arrears_2_periods_sign|amount_in_arrears_3_periods|amount_in_arrears_3_periods_sign|amount_in_arrears_4_periods|amount_in_arrears_4_periods_sign|amount_in_arrears_5_periods|amount_in_arrears_5_periods_sign|amount_in_arrears_6_periods|amount_in_arrears_6_periods_sign|amount_in_arrears_7_periods|amount_in_arrears_7_periods_sign|amount_in_arrears_8_periods|amount_in_arrears_8_periods_sign|statement_type|statement_indicator|opening_date|manual_limit_adj_flag_1|manual_limit_adj_flag_2|latest_due_date|latest_period_processed|payoff_flag|block_code_date|arrear_level|from_acct_no|debit_type|number_of_times_x29_days_in|number_of_times_3059_days_i|number_of_times_6089_days_i|number_of_times_90119_days|number_of_times_120149_days|number_of_times_150179_days|number_of_times_180209_days|number_of_times_210239_days|ac_into_collection_date|old_card_number_1
yorcemewfb|ugggsvviitebbohv|kvsopy|ugxazambbowpspsqpcsopeuwmlbohm|zmqqbrgupopojiyuxoewrifhsv|23777026|iutwyt|llddwk|v|88127438307|f|74114909|30284407671|x|37392514962|j|upheeu|v|sh|t|73617611|qofh|w|w|ethouggngndiiddy|jl|28108966539|y|92315264896|k|76612952929|h|19597066460|g|06014126551|x|80952732318|y|23677239652|o|60219278993|j|39161133097|b|51016291472|n|40264207017|d|09119938290|i|60528594722|b|41040527608|p|mofbxyemaextotuh|q|24157811|06675143|74600791|02028376|04468682|81677881215|57093666|hoi|fncqkpwcjm|v|yie|wyk|aqf|xms|rrg|ssl|ixq|egh|27137750|vabywlsfqfisfpfw
uqbvlvdcxg|jdewynhxyuxtlnzj|lgbqce|okxkapqftxtgvclubfeeolzgsfavig|inqxayxklavjjjfsotarlgvhwx|39469081|kpynvi|uhuxjx|i|38173891760|z|90667018|44533512883|z|95413986794|h|gjxpmx|u|zt|k|16578478|ghgo|o|m|yuvcyonrdykjatin|qn|85212500680|u|93453329587|q|60647916004|o|52334105763|f|56302099446|r|85713135730|f|41051561106|g|83848491077|c|49855489451|p|46034434330|d|18595117624|p|44367065663|f|05846911520|m|92113056619|u|uwqdhmlhxrdkhpwt|h|34474405|25121450|94566933|01342034|71653045|90798259967|08928320|vxs|sgtndjaarc|l|pyv|kkw|azc|uoz|glp|ugi|viw|zvb|17993514|tueppkeregugfzxd
bjwrjcisrx|ozlvfevpxjgxfcrc|thavvw|fisivxfalzwhqkrlqopaplmqbngjtt|kurovyjcektdrwpzflngpkxjts|14471140|gqgddw|rohxol|p|45329107501|p|69680566|29931187381|u|26184004337|j|noindu|a|kj|y|42933538|juum|w|o|uobclyinmpagczam|gy|57933770961|f|56621110119|s|07862497795|f|59048530637|p|99737272108|r|80475068788|r|29176149999|g|97474136640|m|57988868328|h|27615601560|q|64637372079|m|28589680096|m|29772511300|o|22300293058|a|fbcqhmhgwmfmtvuo|v|59462651|50788254|83991036|74233353|87686687|07237881379|50325117|hpf|pkyzaofylw|k|nqo|xax|jtz|yjw|ktu|ipf|cxq|xve|54073168|tprnegclwvifmywu
spturbhtyd|aiwrvdvlrkhzcfjn|fgvuip|whjgvllwltrlrwwkyhbkaudxdsifut|xmthdobrqxchllkxstarksiwds|97565705|euyoki|pobgvt|m|66224642811|w|16172299|05489123817|x|39226945403|l|sttqvg|j|tt|o|80527117|iukm|e|r|wgjrmazxkhiapswq|kr|07696053513|y|20847394589|j|58380267550|i|65122098109|b|74773048134|c|76296617590|y|74118528381|f|26062292541|t|29471731598|g|05396151098|k|24035765860|i|98868512273|j|41121311821|c|57537457477|g|aeejublkvtkiwhdc|f|08760490|84881317|35699920|77910714|47502953|24560126208|08838990|lrh|zzqgvypkcw|g|pxk|rli|sla|uxn|lps|lir|fpu|xxh|19375593|iujdctgxcqengnwt
zabvfffmgy|kurjhxynxhceiedg|tatoru|jpkikhsgvzmuwesspudrizsrjcjjdx|cwaxwmkhskkhfeyuednxeeegth|42348097|smwmqw|xqxjyz|c|78349210345|k|42214429|47663580660|a|60596649581|v|izvbkg|d|ks|s|55510529|lfly|c|t|rysycqblzhkzokhx|fb|20342695623|z|73149966015|r|26813155928|t|98029595737|n|77677433732|z|86981215262|c|46791665567|s|90680398488|z|24704997463|s|51391782493|p|72765035109|o|75802011892|r|62474870588|y|28966735387|z|vqmyewrnewawpvmt|n|92306779|09995116|65455016|19370622|02827261|59044549067|18790003|row|zehgereoxe|g|rat|elz|tah|ncv|pvh|wih|elv|fbx|00003191|fmymmjfnvrejyecb
skfpfmjjth|hagapluqrzerkedr|pnkbuh|untglwyaaryuqizmmquphyvymwdhhx|kxzjspxsbqtcntvhbcgmwpnltr|22751431|mblbbs|rrebvu|x|79208604213|k|44439053|60200807700|m|31095734890|m|ysfyit|j|zt|f|76646656|nixp|i|z|uxpfocannxurdtnj|wa|49597846058|g|82537628696|l|14352168277|x|34816883919|x|72799352015|a|15509309939|i|65361685536|d|05332070725|y|13402276583|w|59304853760|z|90896253862|m|94242321169|u|78053954030|j|02370353423|u|ravowdnfgdnjkvfn|v|49428684|97151116|14102126|53145952|35072464|76626284736|82334218|mlv|hteerqkhvq|k|qbv|wsa|uta|cez|kfx|jkc|juu|uxv|36227140|odappawhypmcokjv
wrcasvszws|slpklzuqwsxfgyfw|rvmusg|mzbnnfnbxkhluvlngeiipcrinbneuk|loxfgvpvywojufnarvkmeyvtec|86438620|hiikxv|pedkix|t|10176276502|q|95627259|60471583914|k|71853538204|d|qkhysx|b|rz|g|68563508|hsio|q|d|jhjyvvafvalcgutk|cq|07824054219|o|84841886201|h|27663115079|d|16188945159|e|91070189074|e|64272142024|c|54949593282|z|01720719070|a|58107240483|q|67191721371|u|15502593570|v|85535594012|b|73997689493|c|94940543500|f|vlyoqqbgcfgjqzmv|g|49442332|49744226|85195808|27271666|77863608|89292488632|77553848|jin|gmgpslhmtl|s|meu|ehn|swc|wok|tge|ymi|avc|ovm|43073659|qtojfbtyjyarhfhd
rxykyijsmd|ydiypejnqiekdkox|bbcdyn|rcnownjazwcfmfhnrazbunmddlbxda|rgttjmjecluwfnlqbhphvzacfr|13161005|lrudsu|zzieft|a|52827379511|h|05786916|85396143818|s|34487330132|a|hixxrc|y|ta|x|30738561|wwmm|s|b|jhpnqnlrfqsjeqbi|ux|90477873852|s|36368639549|i|22278931209|d|35616217635|v|23995081597|q|80764114453|e|95175321352|l|30232026599|m|31371229323|q|60456835155|r|82615265772|e|40038481232|x|12688235250|l|50441336483|f|lruspzirumnrzywq|i|10850189|17356519|06751326|17059608|16155280|63235212884|17893644|jrd|jxlcskcozk|i|ttc|mxm|tkb|eow|tke|zrn|vdy|vbx|56586707|xujqgprawoiozrok
ystgeexdyk|ynrlscaeltkviugf|gswytx|iyrgsekuwsdbahifrwuqrnvymsobyc|gmxcqafeuhmsilkdqakstfscmm|56304874|qgaxmh|yzhzxl|j|48675451226|e|60521742|66581614140|r|33994776048|o|yfnxun|h|ud|n|43282082|qdbs|x|i|ujogihguoolfnxnv|zh|49770975421|b|74275551514|h|36336572197|z|47505679269|m|12711669164|i|10999414712|n|99366651143|h|47128800232|r|27900397839|o|62679338383|p|79657939183|o|32120162519|l|03041704611|y|93424565670|i|unealcijttcbtorb|u|24693815|72510188|69233455|92720272|13521514|26115949621|63950402|snn|mlbhzkxskn|f|dwc|ags|oqn|ohi|ewl|ndt|hos|vqg|85370677|ognsbanynjsawhlj
nrpeqhvlpy|tkrpwazrmawammgm|mwfkjr|ddeunvbdswdcwwsbpbpeiszjolpvls|tlcpyyrovdvtiufmomzlfdenfa|86398746|ckckqo|wuyxlq|y|77367258558|g|22859476|72365122037|z|36123366714|r|zchtmp|o|fd|v|03145792|ewll|h|b|wsofukuccisplblv|rt|74532448562|l|41470033761|r|88627643046|n|49670269316|v|51328433540|i|61332241583|t|99416899428|m|59332919177|v|93564845797|z|09739808425|p|47366631540|z|11794019320|t|08632491864|y|18864523970|i|qgiyvcofmywhszek|h|36291568|84242589|40934804|52074949|14701342|17583667949|13222874|vch|vcjdcokasm|o|sjw|fjr|nnb|nnx|mxt|dqc|xtr|qvy|56977140|coonphrkxrzazgso
lulvpnmhwy|gziqjiiipstdzljv|vsuomr|wezowacwzlcngljighdawnewlpxnzj|ijqkdtahmfqcdalfltvfboqwwn|68322628|nmxczg|idpxrt|o|04900350783|l|45268990|70062188476|s|63784913052|m|paegfv|a|ex|v|37097610|vhrr|m|b|grurntjdqkapikcz|rq|35482844508|o|60709634983|g|34377244500|c|14345116108|m|76236399465|g|95067898993|h|99101684556|r|26436999138|s|83177301341|q|07389317602|q|78667405438|a|09110255530|l|47732468798|r|78052131629|t|krcwtkahaxmqnxbq|v|86076807|22147840|36192716|15496256|79794147|96472842942|76224355|fbi|dldltkgtfr|h|hft|kpe|fza|esh|dbr|dkm|cab|zbu|85638123|xzxuespuaoyibxkl
pgankzuehb|fspmjagauyuunspz|fhnrwx|yhpmaopsjugbwygjvhfyemyizmzypm|bnzdgksvufziipifexfjibwsyd|33466214|vfarsa|uvecfm|m|45958176147|g|67404611|00423719267|f|22380056026|a|iqnrhy|l|iu|z|00761125|uprm|h|e|hnkbwnfzkpakqcpf|vc|21608008862|i|33693024236|a|95472006883|a|83088378546|o|96010764574|x|72199312703|a|95415124614|b|82613830868|g|91175868619|j|80552060735|i|73799793398|h|39516840348|w|99182940379|w|18236458383|a|zahzdcusjmwwcqjc|d|55242259|29261806|39140459|59590127|07125948|03212529537|41291951|pfy|dnmbvnjizs|z|spn|kpt|twz|nqv|qld|lnh|msf|fqb|66590088|zylriehjfmakrmfx
lgxmkofuxh|pymafjihmdwvsgjj|aufkuw|wawgmrnnlzcxhdogqsbytmukeknmbe|adtniioaiofqzhfeiizkjfjjgt|53256248|auhdex|ivabjl|u|80651667857|d|94045099|51156777463|p|45447810267|q|sirkmh|r|gq|z|84041165|hfnc|l|j|grbdardpoyjnavmu|yh|42030312267|q|84794174095|f|45866666929|p|69931497397|v|00418253772|n|40400945363|g|83907298110|b|37980891621|i|86069580826|o|18141071115|w|05519226723|w|43184355670|u|75208226599|r|98586352022|s|rkjtnadkawyfrkep|c|07992877|84365237|88034364|19614737|51153269|80153445025|58671158|lbf|komfzdlpav|e|adv|hup|pfe|dzg|qxz|lvr|opx|ipp|35604094|ctxsvfuqvoqvomlh
mjchciconm|chpydtmxrqrgwdqh|xynzge|gyruirzysuwrmkzjezilwmvbgutxxn|tdjruzpzrbjvalpufuujajdpxw|11825575|ipqdbs|phacwj|c|15763714379|x|03928114|63555483581|b|94589494746|l|iqbtly|e|pi|i|21803354|cjhu|r|v|uvpxsusjwqriveux|oa|36766944539|d|32232818170|o|07202613567|b|74948522984|q|13764631381|u|71047307245|v|67226624048|o|78235628009|m|69909529154|e|11429276058|z|41353598673|d|36305339537|a|32006968246|u|52612437624|c|vyixecsohunjfmax|b|00883132|09486562|28002218|23659175|27563004|22878247953|71782043|akr|jnxxpwagld|d|kal|pcb|jqx|neq|lme|gwf|bhg|ewt|59309122|qgcltwwmpfwpptkx
exwihiiziu|qopcnprrfyxopppe|kktsvk|vksrydefmdalindgjmybnryequgvol|jgwzpevmfdayqhhetmyooujqqm|40311635|sygnyx|wvpghy|x|76808228092|c|86011584|49409131774|m|91666486117|z|nbszzx|x|nd|r|75108647|oiwj|k|x|ddwuxwjeejnrgzxi|xp|82616792464|j|09456004253|r|21866013073|o|46237084883|v|07101623551|v|49230517091|o|02544915765|b|44959898136|z|19129887327|g|71812704389|n|20854392137|h|36756679206|l|88957209712|t|91455816827|z|zdszzghhywypgrmn|z|59252578|98521891|91982780|19286107|50509998|40710135978|62233614|dty|txlngokzbv|y|fhp|cgh|pms|bdn|gfm|ttc|vdo|loh|24464191|ksziqntlvnmnwcju
gnzrhvplbm|atphjmpfhqktmlof|wtxror|rrfmqmvxvgayxmgqocutmjtlwvncmb|gnhqezaeiwtfumykobthiqofos|50110938|syrvxs|tjiige|u|31918919359|s|49435175|99558407926|l|66264650503|g|jsxslx|w|bi|u|29786891|afhn|c|y|disvvlyywkxdmago|zs|76346457738|b|88969325649|x|20929108133|f|07648098099|e|71110451905|a|14645825138|h|44692563088|y|15565889484|q|19440537618|i|32931509188|j|19350378522|d|48826789592|d|32609321658|v|32284701360|g|xdstctrngfkmsafq|q|93781873|29822808|52516502|60153111|51210780|57076570241|31210631|hjb|keakbyunzf|p|btr|btv|vzj|kru|cft|slg|bid|mqt|96111068|amvykcrqqxwaaxsx
njqdxtweon|uwtafrvtcufaqwix|jhiour|zhmkanrxgxwxpmssmxupjpmnlqsryp|hfrfdegrrsdiazfuzosovbooov|76510194|mgwqkb|kjyizg|j|66073054595|i|28840189|38856626685|j|72953281120|a|jvsghw|c|fc|g|75803881|mbjc|i|k|wzntxnznyscmidwh|hr|90333253788|r|72545688804|g|87464865615|s|10473202499|x|73613340270|p|60899574533|y|11104314593|t|32911098800|b|94893139756|y|40612460998|x|42058252192|e|06846541431|h|10300261844|e|18658319702|z|fuqlundmysxuaqya|k|36572404|02641815|01346273|41516415|14410590|89982666013|79845238|qlo|yrhyweejdw|i|jvz|fuy|uom|rlf|ekf|tga|niq|noc|56064778|trmwqwkblsueshtu
glitnsgrxk|bjuqwvzeanotthci|hpeaua|ahzhtrvdvoqpjktmwdpzavacnjxkpx|xugtfxsgpivtrwmxwfoxjdxeft|65061593|nbquab|xebjuh|l|03024980531|x|91074979|99576542408|i|23631052560|f|itbpqy|j|fi|s|63624837|sbuz|y|n|xwhazcvbqmupttrd|jo|73799081862|p|80365412509|a|64320529884|h|79492739481|q|22847827964|w|31582650188|p|17820816748|o|13003952841|t|45615727442|a|29438630688|u|94559783223|o|57690188613|y|27898961062|k|24197807808|y|dstyfkkmopylxsnt|c|92950515|67016463|88493344|77056274|00844954|41965911508|18957530|qby|wunusjoyfn|y|bly|qmn|ysw|dke|xtc|fqs|lib|ovy|57876624|jwgbvcaurettgwjr
tvkpcruloe|minduknqxazityur|ogwloe|gwliqqjqbbyxlidewrsfqkquztarwy|ykeymmjsrlbagvgtnuetsujekg|11431107|ayuqht|tjjoqv|r|26665945535|c|86062890|41230017260|m|64708099905|t|cvzovz|s|ow|j|47810651|pjzl|l|p|qyqutfjlqoodgqov|yw|62982768150|n|23082464113|s|85373281242|h|06246404662|j|20153828186|m|30561556346|l|31612848917|u|82197406273|a|38225966092|s|91816762255|r|60587738556|w|66642492664|s|14487714940|z|51767297099|p|egfaivgczocnlgcz|h|92449785|49061703|77463656|89772259|45359189|87597579816|32511887|upq|oayfzmkmiq|t|aek|lch|peo|rdt|ptp|svn|vls|dct|66781817|ewfifxqhbiehldwo
cswigdnvag|bxrseshqtoxpilar|wopafa|xywmufdcnpkqkcnxnzwfzgbgcjeful|kyuwyhhcexhaayxfmaphjwamrr|54291122|fyuowh|meigym|j|03134244020|e|47226788|10766345902|j|13913189986|j|zbmqrl|a|al|p|48878237|orxi|e|b|znxzdvhanuehraxa|sh|98172726577|y|06245665798|p|22157755505|w|80060235523|s|75803369143|h|22973435770|v|65948330508|x|54926910200|t|46027800073|b|25827403508|u|29491642693|d|18690383493|u|34045831934|z|72496734823|b|htxpgggxxbvslguf|e|47159040|88027555|22864966|54622068|80745583|27410651024|36029057|zjz|ifxskhhtjj|z|zfi|yas|cqr|cno|haj|zic|ayg|ckc|03615848|yyzeyegamdxwcbnl
nixzqnlrdn|fselnsdakyjxffcn|ihujgp|mmhsjckjvbixutftcagkoqzgvnbgqp|rlnpdmgubtnyyqltcmcynxbqvr|68111166|swkkuc|tbfqeg|x|89681232632|p|99186235|76340773414|a|44571106620|q|hnyroq|w|xt|x|43559564|mrit|l|a|xceljoshiqrtwadb|ax|46143940901|p|76170057135|y|07576299850|w|48417865674|u|55078275467|j|08865398014|o|35064537269|h|64449843914|v|85206372052|e|22264887106|q|64551548234|g|63945733391|r|84187180210|d|92878084655|o|gbcrwjizbhbsgdcv|x|10596025|31592883|29455733|77733828|01791940|00412458877|18082248|vsb|xtskpdejco|k|bsx|utm|dzu|fpu|qjn|mcz|dsq|mly|38679126|voskeylsrqsvmizc
rrgfqfpdun|ojljmwxmwpujljun|yifdvm|zwtddbbedkyumjjtmvqelelinqtxiv|nnbcmblxfftlodyzvqkglplivn|87351589|dbhuap|rhuxpf|z|67073565620|t|06952780|84783479016|z|25955427677|d|dgbrhq|a|hn|p|25324721|cfnc|m|y|ntdmjnoreybnrkxo|mi|41746554712|j|03523409907|e|34224774950|k|22926190573|p|42314355060|h|86211743093|s|94230641743|h|49057832537|i|67457429730|h|06735608072|v|62014257255|c|82775300039|w|41651232504|e|70177480604|q|pjzzvavjzlvcgftg|u|18405155|55238319|04319719|44589158|53498742|23859181100|24534052|cnd|vndshkbujb|i|spb|ioc|frc|njq|huq|tsb|iks|nxu|86052406|pjfcwpdvertrowcd
wghjaeqoah|dozgqxjmqucxzrma|hsobfs|lexspjyljyfmwgrbbeuxlpaoxteqyi|dopidjqecjjidjknkwvtpzhtcb|37882633|nupbsw|wvmpis|k|26696996919|d|76229439|31348544173|d|89549872950|d|apreki|r|oj|k|11118049|vvwi|o|c|pnwqvhnnxdltwykj|fq|33364992002|r|78753749613|p|32194372739|u|27956158453|x|51435951808|e|99298600599|w|71769139246|b|61499036400|z|40756166094|e|96903431349|x|72900928597|w|39351635509|y|77436197659|t|89783789864|s|zhywjrmysrnofjca|x|76861736|76633030|84594286|61677177|82063806|49387949875|66901127|dwb|naqtedwpjq|y|fay|agf|yvo|pqe|det|gnw|pby|cuw|20602966|cueckfdqhhnqyxoc
zsaoprgdzd|quvwvwqcoyvmkjjx|pphlqy|neiteirezarnoykxpmiytdbipinktl|jkpttulvsqcanielmtphchwgsa|29520393|uqxkec|lvgnwy|q|06640835482|q|87922677|04193021494|f|08416909980|n|zscotr|n|mc|t|08127597|cxdc|t|h|dcdosyhxyxlkgqxv|ol|24632781677|f|57681417450|f|95318549509|z|19545927466|y|82224788626|q|13066875701|g|24234387582|z|08249485026|o|62765435731|g|39391890140|w|40210843848|s|81246474756|s|59293027839|a|16447117503|f|vbkuodopsjbmuqxa|m|37260019|19155257|79431092|97608795|44280030|60164434891|95497024|epp|cnfujzdrjg|f|dba|tzx|rdk|edx|xbm|zxh|oks|tyn|18802590|wuyinftsbrjesjra
djwuwcsgar|vkijrqadetrdqsgg|sinqel|lictgqtznayhshlvxgongamrgsidtn|qywvzczfvrrndvbauzrcfkzjey|22524508|dobkhg|buhjkd|z|85040347373|b|75356522|40444258940|s|79635859970|u|abjkiq|a|ig|n|22264662|zuee|t|y|xyowlhnozkavvosm|jx|03994819709|j|84222018311|l|83424787122|b|93085786939|r|30369995313|d|97940497120|u|18166057367|s|82819348915|i|52523519136|p|75559934344|d|48718816876|y|51659843348|d|90657961064|m|45092793665|e|ezywgjfjtiisipuy|v|56611282|01871463|97060808|70311310|82790628|88221118819|00479377|wvx|afsdnozfgh|c|rwu|lkn|ueh|fsh|uxg|coq|sgo|coe|62074622|wsbzlyqgrhktujnk
tvsjjtwnyj|qgvjfwvjhbawtghv|cyjugy|tljxfkhdsxkbhrmcwlrisudttilxqx|cexmnfgiyiorffiepxtpmncgos|59248149|jvcbkg|mdgmkk|q|65492056215|b|82104699|33890012079|i|56039118668|a|nmmmvf|c|qi|k|25207442|xqhi|y|n|acoblgujeidpcotc|zc|01182087795|c|27398389190|n|89700731131|o|18039718013|y|40393671112|s|78823796874|f|64337849371|e|13743668060|g|83495390935|c|08769968954|o|99614229694|z|23494519557|q|48943126303|f|59429933022|w|oldobbpotnegyhxt|w|07075441|54562051|20085592|73112017|63993310|69199707619|34495826|fja|zzwenvrzwj|f|axt|twz|wgj|evy|qjx|hpo|agd|bjc|15544472|igoszbauxwxakccg
zvxqmbtmjs|chfbovbemsncopos|rbpvqy|hzuleiwqrvoroqscbijsergxymwpbm|kcepmxmkvtfgbvspivtsmczvsl|81951006|fjursd|gjzqjo|m|16363025744|v|10660880|97737551882|z|38931902388|g|gihtwx|l|sv|d|13217600|dyjj|y|a|ubolszqrmmymgmlq|eh|02895952204|y|53850367024|p|46558159250|g|72591530116|b|96168100685|p|45691958017|m|08810025087|m|13442087790|s|46351665231|r|69514464836|r|15911353231|s|40326335870|p|32008129642|m|37975673255|e|sjkwbqjxlvrdytbr|j|41197460|00942900|57005398|72468312|19030568|39919389950|92077590|ngo|aoroemouwn|k|otp|xme|dfl|eih|lqk|vqf|qmn|bef|75613729|tyfnpxgwbgssslqo
nfjtayrsfx|bwqomtwokhetljhp|exjfdl|ljnjmftlyoejrcarualcyjrzjmqoxi|iihqnbiorpehwwputzrsyzahkw|86495673|csydlp|saqkvf|i|20484201796|g|90367892|99985108206|r|68677817603|u|mlueck|w|xy|m|08885099|esby|c|i|sdvuwlggwjwalnnl|on|89797552050|d|41020709080|q|17549006357|i|17216503472|g|44338528542|n|32695970377|y|52683240938|p|05848031344|f|81329016471|j|64764772727|b|51832013851|w|53616633994|s|96274776356|u|92275057348|m|ckibkmkorsymkqdp|q|67888565|67226456|74655760|19481388|14393397|87410311729|65154683|nue|ahltbjurud|r|cvl|ifn|boq|rwu|czn|ycw|rnt|djc|17509598|zuflrgyjcsmzuhqb
ubufsdztoy|qkinetflkcywxqxs|lcbhhy|aitlmibgsrbjzrwwdnkkgbahssrxxs|uthwbtiucdafzzmdoumpvjzazt|04598648|gcsbqi|traymj|i|60587557508|n|78522038|80512781700|f|30943895680|d|xlurkv|u|ur|n|15588942|uoos|x|z|ynpdfevcifruurfv|uy|44201396815|g|33229102182|h|18383665480|e|40998704825|x|47537075636|q|40247274440|w|65536115904|p|89248726173|r|37386164049|p|60027763286|v|67475811228|g|39632791936|y|10227146869|v|06257000788|v|gnlpehfkzcorjkhn|i|00525676|17973065|68838042|99700327|03322902|68105344200|36792540|cdd|tvvabqlhcd|l|evj|dqd|xin|cfm|ujz|czu|ubx|keg|68698395|hubuarqgfkayucpn
ixtnyuscmj|tslphovhktqoiqon|funcmu|fmttuaojanamnydjoysoyhjryokhcd|kjhbamadqykwyxiackvrkhyajs|72270912|uabvqu|zfgwvq|o|99648179054|t|59963118|96093768622|r|94053849829|n|euffpl|g|hc|d|96154945|zspf|v|r|kyklzeibrwctfydu|qq|65083860957|r|94542077566|g|05177295937|l|27525840947|e|60038290463|z|34131430519|w|80114626074|a|01940115362|v|40921688842|t|41664015459|y|44626957618|z|39619888285|e|17284764631|t|27316364029|s|fdxkboojaqjnlkvb|v|22798952|96647887|86506355|87419633|03620986|54265499756|01882998|fxb|qachzgqfpb|r|zdc|ozn|kcu|hol|ggm|jlc|pnp|spk|36777597|jsybyfjzxcznlngc
ksfyogqvjw|ztgdrghtjgdjoriq|auchwe|bnwnlgvwqcgqrnrzysipommrnunlzz|awhalbfzsoeomorqnzvsohmecj|09083465|vqdalu|axkoov|r|15620342885|y|02707220|37571124889|k|84251903006|h|ilakdk|a|ct|t|72963017|jvqx|n|o|gutsdctykekzqbul|qy|44427844614|k|14353054435|f|87867142966|x|91084988735|x|42077518356|q|86839310153|d|72087092156|r|74502592463|r|94633794621|f|36934622862|k|70703513791|c|26580499847|d|29713540049|f|51101925625|f|kyypsapcrwcyedmj|k|32688498|26591927|11592624|95619078|67552753|36126989215|30157506|efp|sltvtyqamm|a|ocl|qpz|oln|nns|duo|iaj|gfz|hyg|99880331|nqrqhakizbdpsapt
bdfnxlvrih|fgxcllejbqzywyeg|fhrhri|rjviaxbetalotryqaucnjlhhriuwyu|hcspaypgrcregcfdfiizzxuiaa|59885247|rmtqbe|jgoqsk|a|20639085134|e|83291381|26835045583|u|87845793863|a|fqicoj|w|kp|s|06513460|ohwm|i|m|yzwzxnyrlbjbwtpo|ch|08889013695|g|50592147766|r|48588349509|e|34754918743|u|49343049044|n|69473111354|i|14051490658|t|55599644164|d|40180417242|s|37882369424|n|82623801556|f|01147196671|y|41685067667|t|13737969231|h|wcwniyvcwlsajnqc|l|78814104|82382604|82251744|28515048|24190237|33765791046|90047499|qdz|jxkvbzbqgs|p|shx|rvv|ynm|kxc|oxl|exo|qvs|glz|07536197|lghpdwyatgamnbua
zrqjwslkdj|qeuqnatyxweyrgli|prwfui|rthzrrlhjmuvfinmiolvxmofkmnbkh|hlbcvjgbcagvdihvjbxzbvlhnz|89016343|xqnbna|jwurcu|l|29830544475|t|76384294|12626325843|a|80794094218|c|yomrks|g|jp|q|60286274|nawd|o|k|osqxjhhjoovyjcjh|je|68193406002|t|67230421240|v|39679778118|h|39632797083|l|43477463053|p|47491231620|e|56316918241|p|09646179837|p|91159593719|l|45074308935|r|78337941021|j|43916938930|e|02544266243|u|13927516644|u|tbfcubbcbwfxmcds|j|73100472|22502463|65387675|26878850|86451365|61754376245|61293548|ybm|uggjzjcipk|w|edr|mii|oko|din|dke|mab|xpt|wzg|69929727|dgkmakycqpyjfoxo
rlzecdwpkb|nnvpiczldqppcmrv|ubhypa|cktyfcjzxkgvznnpxaptodvhlictou|xkmycothvdxtvdpsxokvnegrlw|28596683|msibhc|rlzont|e|37960605515|g|43094797|71151931064|u|82885839161|r|wbbqbo|b|vh|j|93664670|onhl|t|q|thktonukuagjtgre|bz|29426837675|y|89322652925|n|15671624030|v|01777428227|b|66448662157|i|04278205946|p|25298479212|t|15638508151|m|48783733866|o|68687125074|z|71429355532|n|82379663404|f|12776272366|p|47796498430|f|vfdzdhyfbymhajfu|m|35313431|46425667|07190605|92826091|72495249|44847644393|45216247|nsr|fufenrgaqk|v|pxv|ctj|uak|gpd|hns|lco|vkp|hne|58226810|xrpzokqlerbapyek
swhrjthqjw|tghnzflmednbrudr|wwgnik|yupzugwymmwivjngoljxmhlnubgnan|duqdcuzdimlxrtmqxnfvpunnjh|07817737|vtavtb|fdgnod|e|71498778327|l|29531557|22236401915|b|42005496006|y|vzmzwf|y|pw|r|23653454|wdvf|b|o|ujelthusbdundwtp|xe|70944980065|l|66304585059|y|30561025466|j|93141427011|a|44454439056|c|73284730451|s|94927866429|r|37408485403|y|85066925873|n|30045757668|p|19748837617|x|61339285968|o|83018083397|w|84264874742|h|mbieeihpzeagxggc|k|78939969|72288299|83031777|90914435|83888975|81767394557|20335389|kve|rmwnfqixwx|v|tdz|gck|kic|hko|cks|ogw|org|svn|08108736|cxchuhyyrioybzvg
wirqsmnoou|nrcabayhsgcmvmvr|hntoxt|tybybzitjwudxcxkiipzcuihuurrir|tsphqvftjoiqbqjljbtzezvduy|44009655|lflrge|xcjzcq|e|33997786306|z|86635473|34784186995|s|53466319936|h|nsuoge|e|eh|e|62244491|vwfx|d|i|jrmohbhpfgyqliuf|cy|64532668541|a|73294498395|x|04202053811|m|84342843543|z|83775862321|n|17095167985|a|86375766630|i|34329562615|e|81459483164|h|81517353518|e|41333023841|k|28607900659|l|28522127660|y|32771271745|a|kvqbivwwsuqdhaom|q|17776889|96224084|43358121|32362747|40218107|34236378670|43663095|qsh|ocoylqfmwb|p|zhp|fkw|ffu|ulo|jft|yfa|lst|dwt|62505118|fwaruuincrmlwphj
